timestep,policy_id,gt_policy_id,confidence,entropy,prob_policy_0,prob_policy_1
0.000000,1,1,0.999978,0.000256,0.000022,0.999978
0.033333,1,1,0.999978,0.000256,0.000022,0.999978
0.066667,1,1,0.999978,0.000256,0.000022,0.999978
0.100000,1,1,0.999978,0.000256,0.000022,0.999978
0.133333,1,1,0.999978,0.000256,0.000022,0.999978
0.166667,1,1,0.999978,0.000256,0.000022,0.999978
0.200000,1,1,0.999978,0.000256,0.000022,0.999978
0.233333,1,1,0.999978,0.000256,0.000022,0.999978
0.266667,1,1,0.999989,0.000141,0.000011,0.999989
0.300000,1,1,0.999989,0.000141,0.000011,0.999989
0.333333,1,1,0.999989,0.000141,0.000011,0.999989
0.366667,1,1,0.999989,0.000141,0.000011,0.999989
0.400000,1,1,0.999989,0.000141,0.000011,0.999989
0.433333,1,1,0.999989,0.000141,0.000011,0.999989
0.466667,1,1,0.999989,0.000141,0.000011,0.999989
0.500000,1,1,0.999989,0.000141,0.000011,0.999989
0.533333,1,1,0.999999,0.000008,0.000001,0.999999
0.566667,1,1,0.999999,0.000008,0.000001,0.999999
0.600000,1,1,0.999999,0.000008,0.000001,0.999999
0.633333,1,1,0.999999,0.000008,0.000001,0.999999
0.666667,1,1,0.999999,0.000008,0.000001,0.999999
0.700000,1,1,0.999999,0.000008,0.000001,0.999999
0.733333,1,1,0.999999,0.000008,0.000001,0.999999
0.766667,1,1,0.999999,0.000008,0.000001,0.999999
0.800000,1,1,1.000000,0.000000,0.000000,1.000000
0.833333,1,1,1.000000,0.000000,0.000000,1.000000
0.866667,1,1,1.000000,0.000000,0.000000,1.000000
0.900000,1,1,1.000000,0.000000,0.000000,1.000000
0.933333,1,1,1.000000,0.000000,0.000000,1.000000
0.966667,1,1,1.000000,0.000000,0.000000,1.000000
1.000000,1,1,1.000000,0.000000,0.000000,1.000000
1.033333,1,1,1.000000,0.000000,0.000000,1.000000
1.066667,1,1,1.000000,0.000000,0.000000,1.000000
1.100000,1,1,1.000000,0.000000,0.000000,1.000000
1.133333,1,1,1.000000,0.000000,0.000000,1.000000
1.166667,1,1,1.000000,0.000000,0.000000,1.000000
1.200000,1,1,1.000000,0.000000,0.000000,1.000000
1.233333,1,1,1.000000,0.000000,0.000000,1.000000
1.266667,1,1,1.000000,0.000000,0.000000,1.000000
1.300000,1,1,1.000000,0.000000,0.000000,1.000000
1.333333,1,1,1.000000,0.000000,0.000000,1.000000
1.366667,1,1,1.000000,0.000000,0.000000,1.000000
1.400000,1,1,1.000000,0.000000,0.000000,1.000000
1.433333,1,1,1.000000,0.000000,0.000000,1.000000
1.466667,1,1,1.000000,0.000000,0.000000,1.000000
1.500000,1,1,1.000000,0.000000,0.000000,1.000000
1.533333,1,1,1.000000,0.000000,0.000000,1.000000
1.566667,1,1,1.000000,0.000000,0.000000,1.000000
1.600000,1,1,1.000000,0.000000,0.000000,1.000000
1.633333,1,1,1.000000,0.000000,0.000000,1.000000
1.666667,1,1,1.000000,0.000000,0.000000,1.000000
1.700000,1,1,1.000000,0.000000,0.000000,1.000000
1.733333,1,1,1.000000,0.000000,0.000000,1.000000
1.766667,1,1,1.000000,0.000000,0.000000,1.000000
1.800000,1,1,1.000000,0.000000,0.000000,1.000000
1.833333,1,1,1.000000,0.000000,0.000000,1.000000
1.866667,1,1,1.000000,0.000003,0.000000,1.000000
1.900000,1,1,1.000000,0.000003,0.000000,1.000000
1.933333,1,1,1.000000,0.000003,0.000000,1.000000
1.966667,1,1,1.000000,0.000003,0.000000,1.000000
2.000000,1,1,1.000000,0.000003,0.000000,1.000000
2.033333,1,1,1.000000,0.000003,0.000000,1.000000
2.066667,1,1,1.000000,0.000003,0.000000,1.000000
2.100000,1,1,1.000000,0.000003,0.000000,1.000000
2.133333,1,1,0.999856,0.001416,0.000144,0.999856
2.166667,1,1,0.999856,0.001416,0.000144,0.999856
2.200000,1,1,0.999856,0.001416,0.000144,0.999856
2.233333,1,1,0.999856,0.001416,0.000144,0.999856
2.266667,1,1,0.999856,0.001416,0.000144,0.999856
2.300000,1,1,0.999856,0.001416,0.000144,0.999856
2.333333,1,1,0.999856,0.001416,0.000144,0.999856
2.366667,1,1,0.999856,0.001416,0.000144,0.999856
2.400000,0,1,0.500142,0.693147,0.500142,0.499858
2.433333,0,1,0.500142,0.693147,0.500142,0.499858
2.466667,0,1,0.500142,0.693147,0.500142,0.499858
2.500000,0,1,0.500142,0.693147,0.500142,0.499858
2.533333,0,1,0.500142,0.693147,0.500142,0.499858
2.566667,0,1,0.500142,0.693147,0.500142,0.499858
2.600000,0,1,0.500142,0.693147,0.500142,0.499858
2.633333,0,1,0.500142,0.693147,0.500142,0.499858
2.666667,0,1,0.999997,0.000037,0.999997,0.000003
2.700000,0,1,0.999997,0.000037,0.999997,0.000003
2.733333,0,1,0.999997,0.000037,0.999997,0.000003
2.766667,0,1,0.999997,0.000037,0.999997,0.000003
2.800000,0,1,0.999997,0.000037,0.999997,0.000003
2.833333,0,1,0.999997,0.000037,0.999997,0.000003
2.866667,0,1,0.999997,0.000037,0.999997,0.000003
2.900000,0,1,0.999997,0.000037,0.999997,0.000003
2.933333,0,1,0.999997,0.000037,0.999997,0.000003
2.966667,0,1,0.999997,0.000037,0.999997,0.000003
3.000000,0,1,0.999997,0.000037,0.999997,0.000003
3.033333,0,1,0.999997,0.000037,0.999997,0.000003
3.066667,0,1,0.999997,0.000037,0.999997,0.000003
3.100000,0,1,0.999997,0.000037,0.999997,0.000003
