timestep,policy_id,gt_policy_id,confidence,entropy,prob_policy_0,prob_policy_1
0.000000,1,0,0.969446,0.136663,0.030554,0.969446
0.033333,1,0,0.969446,0.136663,0.030554,0.969446
0.066667,1,0,0.969446,0.136663,0.030554,0.969446
0.100000,1,0,0.969446,0.136663,0.030554,0.969446
0.133333,1,0,0.969446,0.136663,0.030554,0.969446
0.166667,1,0,0.969446,0.136663,0.030554,0.969446
0.200000,1,0,0.969446,0.136663,0.030554,0.969446
0.233333,1,0,0.969446,0.136663,0.030554,0.969446
0.266667,0,0,0.701641,0.609468,0.298359,0.701641
0.300000,0,0,0.701641,0.609468,0.298359,0.701641
0.333333,0,0,0.701641,0.609468,0.298359,0.701641
0.366667,0,0,0.701641,0.609468,0.298359,0.701641
0.400000,0,0,0.701641,0.609468,0.298359,0.701641
0.433333,0,0,0.701641,0.609468,0.298359,0.701641
0.466667,0,0,0.701641,0.609468,0.298359,0.701641
0.500000,0,0,0.701641,0.609468,0.298359,0.701641
0.533333,0,0,0.647586,0.648928,0.352414,0.647586
0.566667,0,0,0.647586,0.648928,0.352414,0.647586
0.600000,0,0,0.647586,0.648928,0.352414,0.647586
0.633333,0,0,0.647586,0.648928,0.352414,0.647586
0.666667,0,0,0.647586,0.648928,0.352414,0.647586
0.700000,0,0,0.647586,0.648928,0.352414,0.647586
0.733333,0,0,0.647586,0.648928,0.352414,0.647586
0.766667,0,0,0.647586,0.648928,0.352414,0.647586
0.800000,1,0,0.929916,0.253857,0.070084,0.929916
0.833333,1,0,0.929916,0.253857,0.070084,0.929916
0.866667,1,0,0.929916,0.253857,0.070084,0.929916
0.900000,1,0,0.929916,0.253857,0.070084,0.929916
0.933333,1,0,0.929916,0.253857,0.070084,0.929916
0.966667,1,0,0.929916,0.253857,0.070084,0.929916
1.000000,1,0,0.929916,0.253857,0.070084,0.929916
1.033333,1,0,0.929916,0.253857,0.070084,0.929916
1.066667,1,0,0.999172,0.006701,0.000828,0.999172
1.100000,1,0,0.999172,0.006701,0.000828,0.999172
1.133333,1,0,0.999172,0.006701,0.000828,0.999172
1.166667,1,0,0.999172,0.006701,0.000828,0.999172
1.200000,1,0,0.999172,0.006701,0.000828,0.999172
1.233333,1,0,0.999172,0.006701,0.000828,0.999172
1.266667,1,0,0.999172,0.006701,0.000828,0.999172
1.300000,1,0,0.999172,0.006701,0.000828,0.999172
1.333333,1,0,0.999923,0.000808,0.000077,0.999923
1.366667,1,0,0.999923,0.000808,0.000077,0.999923
1.400000,1,0,0.999923,0.000808,0.000077,0.999923
1.433333,1,0,0.999923,0.000808,0.000077,0.999923
1.466667,1,0,0.999923,0.000808,0.000077,0.999923
1.500000,1,0,0.999923,0.000808,0.000077,0.999923
1.533333,1,0,0.999923,0.000808,0.000077,0.999923
1.566667,1,0,0.999923,0.000808,0.000077,0.999923
1.600000,1,0,0.998934,0.008359,0.001066,0.998934
1.633333,1,0,0.998934,0.008359,0.001066,0.998934
1.666667,1,0,0.998934,0.008359,0.001066,0.998934
1.700000,1,0,0.998934,0.008359,0.001066,0.998934
1.733333,1,0,0.998934,0.008359,0.001066,0.998934
1.766667,1,0,0.998934,0.008359,0.001066,0.998934
1.800000,1,0,0.998934,0.008359,0.001066,0.998934
1.833333,1,0,0.998934,0.008359,0.001066,0.998934
1.866667,1,0,0.983446,0.084308,0.016554,0.983446
1.900000,1,0,0.983446,0.084308,0.016554,0.983446
1.933333,1,0,0.983446,0.084308,0.016554,0.983446
1.966667,1,0,0.983446,0.084308,0.016554,0.983446
2.000000,1,0,0.983446,0.084308,0.016554,0.983446
2.033333,1,0,0.983446,0.084308,0.016554,0.983446
2.066667,1,0,0.983446,0.084308,0.016554,0.983446
2.100000,1,0,0.983446,0.084308,0.016554,0.983446
2.133333,1,0,0.984509,0.079930,0.015491,0.984509
2.166667,1,0,0.984509,0.079930,0.015491,0.984509
2.200000,1,0,0.984509,0.079930,0.015491,0.984509
2.233333,1,0,0.984509,0.079930,0.015491,0.984509
2.266667,1,0,0.984509,0.079930,0.015491,0.984509
2.300000,1,0,0.984509,0.079930,0.015491,0.984509
2.333333,1,0,0.984509,0.079930,0.015491,0.984509
2.366667,1,0,0.984509,0.079930,0.015491,0.984509
2.400000,1,0,0.999869,0.001301,0.000131,0.999869
2.433333,1,0,0.999869,0.001301,0.000131,0.999869
2.466667,1,0,0.999869,0.001301,0.000131,0.999869
2.500000,1,0,0.999869,0.001301,0.000131,0.999869
2.533333,1,0,0.999869,0.001301,0.000131,0.999869
2.566667,1,0,0.999869,0.001301,0.000131,0.999869
2.600000,1,0,0.999869,0.001301,0.000131,0.999869
2.633333,1,0,0.999869,0.001301,0.000131,0.999869
2.666667,0,0,0.550921,0.687952,0.449079,0.550921
2.700000,0,0,0.550921,0.687952,0.449079,0.550921
2.733333,0,0,0.550921,0.687952,0.449079,0.550921
2.766667,0,0,0.550921,0.687952,0.449079,0.550921
2.800000,0,0,0.550921,0.687952,0.449079,0.550921
2.833333,0,0,0.550921,0.687952,0.449079,0.550921
2.866667,0,0,0.550921,0.687952,0.449079,0.550921
2.900000,0,0,0.550921,0.687952,0.449079,0.550921
2.933333,0,0,0.946033,0.210034,0.946033,0.053967
2.966667,0,0,0.946033,0.210034,0.946033,0.053967
3.000000,0,0,0.946033,0.210034,0.946033,0.053967
3.033333,0,0,0.946033,0.210034,0.946033,0.053967
3.066667,0,0,0.946033,0.210034,0.946033,0.053967
3.100000,0,0,0.946033,0.210034,0.946033,0.053967
3.133333,0,0,0.946033,0.210034,0.946033,0.053967
3.166667,0,0,0.946033,0.210034,0.946033,0.053967
3.200000,0,0,0.959189,0.170513,0.959189,0.040811
3.233333,0,0,0.959189,0.170513,0.959189,0.040811
3.266667,0,0,0.959189,0.170513,0.959189,0.040811
3.300000,0,0,0.959189,0.170513,0.959189,0.040811
3.333333,0,0,0.959189,0.170513,0.959189,0.040811
3.366667,0,0,0.959189,0.170513,0.959189,0.040811
3.400000,0,0,0.959189,0.170513,0.959189,0.040811
3.433333,0,0,0.959189,0.170513,0.959189,0.040811
3.466667,0,0,0.924842,0.266780,0.924842,0.075157
3.500000,0,0,0.924842,0.266780,0.924842,0.075157
3.533333,0,0,0.924842,0.266780,0.924842,0.075157
3.566667,0,0,0.924842,0.266780,0.924842,0.075157
3.600000,0,0,0.924842,0.266780,0.924842,0.075157
3.633333,0,0,0.924842,0.266780,0.924842,0.075157
3.666667,0,0,0.924842,0.266780,0.924842,0.075157
3.700000,0,0,0.924842,0.266780,0.924842,0.075157
3.733333,0,0,0.925476,0.265188,0.925476,0.074524
3.766667,0,0,0.925476,0.265188,0.925476,0.074524
3.800000,0,0,0.925476,0.265188,0.925476,0.074524
3.833333,0,0,0.925476,0.265188,0.925476,0.074524
3.866667,0,0,0.925476,0.265188,0.925476,0.074524
3.900000,0,0,0.925476,0.265188,0.925476,0.074524
3.933333,0,0,0.925476,0.265188,0.925476,0.074524
3.966667,0,0,0.925476,0.265188,0.925476,0.074524
4.000000,0,0,0.925476,0.265188,0.925476,0.074524
4.033333,0,0,0.925476,0.265188,0.925476,0.074524
4.066667,0,0,0.925476,0.265188,0.925476,0.074524
4.100000,0,0,0.925476,0.265188,0.925476,0.074524
4.133333,0,0,0.925476,0.265188,0.925476,0.074524
