timestep,policy_id,gt_policy_id,confidence,entropy,prob_policy_0,prob_policy_1
0.000000,0,0,0.936376,0.236825,0.936376,0.063624
0.033333,0,0,0.936376,0.236825,0.936376,0.063624
0.066667,0,0,0.936376,0.236825,0.936376,0.063624
0.100000,0,0,0.936376,0.236825,0.936376,0.063624
0.133333,0,0,0.936376,0.236825,0.936376,0.063624
0.166667,0,0,0.936376,0.236825,0.936376,0.063624
0.200000,0,0,0.936376,0.236825,0.936376,0.063624
0.233333,0,0,0.936376,0.236825,0.936376,0.063624
0.266667,0,0,0.676898,0.629185,0.676898,0.323102
0.300000,0,0,0.676898,0.629185,0.676898,0.323102
0.333333,0,0,0.676898,0.629185,0.676898,0.323102
0.366667,0,0,0.676898,0.629185,0.676898,0.323102
0.400000,0,0,0.676898,0.629185,0.676898,0.323102
0.433333,0,0,0.676898,0.629185,0.676898,0.323102
0.466667,0,0,0.676898,0.629185,0.676898,0.323102
0.500000,0,0,0.676898,0.629185,0.676898,0.323102
0.533333,0,0,0.510083,0.692944,0.489917,0.510083
0.566667,0,0,0.510083,0.692944,0.489917,0.510083
0.600000,0,0,0.510083,0.692944,0.489917,0.510083
0.633333,0,0,0.510083,0.692944,0.489917,0.510083
0.666667,0,0,0.510083,0.692944,0.489917,0.510083
0.700000,0,0,0.510083,0.692944,0.489917,0.510083
0.733333,0,0,0.510083,0.692944,0.489917,0.510083
0.766667,0,0,0.510083,0.692944,0.489917,0.510083
0.800000,0,0,0.779470,0.527578,0.779470,0.220530
0.833333,0,0,0.779470,0.527578,0.779470,0.220530
0.866667,0,0,0.779470,0.527578,0.779470,0.220530
0.900000,0,0,0.779470,0.527578,0.779470,0.220530
0.933333,0,0,0.779470,0.527578,0.779470,0.220530
0.966667,0,0,0.779470,0.527578,0.779470,0.220530
1.000000,0,0,0.779470,0.527578,0.779470,0.220530
1.033333,0,0,0.779470,0.527578,0.779470,0.220530
1.066667,0,0,0.501502,0.693143,0.498498,0.501502
1.100000,0,0,0.501502,0.693143,0.498498,0.501502
1.133333,0,0,0.501502,0.693143,0.498498,0.501502
1.166667,0,0,0.501502,0.693143,0.498498,0.501502
1.200000,0,0,0.501502,0.693143,0.498498,0.501502
1.233333,0,0,0.501502,0.693143,0.498498,0.501502
1.266667,0,0,0.501502,0.693143,0.498498,0.501502
1.300000,0,0,0.501502,0.693143,0.498498,0.501502
1.333333,0,0,0.515519,0.692665,0.484481,0.515519
1.366667,0,0,0.515519,0.692665,0.484481,0.515519
1.400000,0,0,0.515519,0.692665,0.484481,0.515519
1.433333,0,0,0.515519,0.692665,0.484481,0.515519
1.466667,0,0,0.515519,0.692665,0.484481,0.515519
1.500000,0,0,0.515519,0.692665,0.484481,0.515519
1.533333,0,0,0.515519,0.692665,0.484481,0.515519
1.566667,0,0,0.515519,0.692665,0.484481,0.515519
1.600000,0,0,0.984228,0.081093,0.984228,0.015772
1.633333,0,0,0.984228,0.081093,0.984228,0.015772
1.666667,0,0,0.984228,0.081093,0.984228,0.015772
1.700000,0,0,0.984228,0.081093,0.984228,0.015772
1.733333,0,0,0.984228,0.081093,0.984228,0.015772
1.766667,0,0,0.984228,0.081093,0.984228,0.015772
1.800000,0,0,0.984228,0.081093,0.984228,0.015772
1.833333,0,0,0.984228,0.081093,0.984228,0.015772
1.866667,0,0,0.999977,0.000265,0.999977,0.000023
1.900000,0,0,0.999977,0.000265,0.999977,0.000023
1.933333,0,0,0.999977,0.000265,0.999977,0.000023
1.966667,0,0,0.999977,0.000265,0.999977,0.000023
2.000000,0,0,0.999977,0.000265,0.999977,0.000023
2.033333,0,0,0.999977,0.000265,0.999977,0.000023
2.066667,0,0,0.999977,0.000265,0.999977,0.000023
2.100000,0,0,0.999977,0.000265,0.999977,0.000023
2.133333,0,0,0.995925,0.026492,0.995925,0.004075
2.166667,0,0,0.995925,0.026492,0.995925,0.004075
2.200000,0,0,0.995925,0.026492,0.995925,0.004075
2.233333,0,0,0.995925,0.026492,0.995925,0.004075
2.266667,0,0,0.995925,0.026492,0.995925,0.004075
2.300000,0,0,0.995925,0.026492,0.995925,0.004075
2.333333,0,0,0.995925,0.026492,0.995925,0.004075
2.366667,0,0,0.995925,0.026492,0.995925,0.004075
2.400000,0,0,0.995905,0.026599,0.995905,0.004095
2.433333,0,0,0.995905,0.026599,0.995905,0.004095
2.466667,0,0,0.995905,0.026599,0.995905,0.004095
2.500000,0,0,0.995905,0.026599,0.995905,0.004095
2.533333,0,0,0.995905,0.026599,0.995905,0.004095
2.566667,0,0,0.995905,0.026599,0.995905,0.004095
2.600000,0,0,0.995905,0.026599,0.995905,0.004095
2.633333,0,0,0.995905,0.026599,0.995905,0.004095
2.666667,0,0,0.999953,0.000519,0.999953,0.000047
2.700000,0,0,0.999953,0.000519,0.999953,0.000047
2.733333,0,0,0.999953,0.000519,0.999953,0.000047
2.766667,0,0,0.999953,0.000519,0.999953,0.000047
2.800000,0,0,0.999953,0.000519,0.999953,0.000047
2.833333,0,0,0.999953,0.000519,0.999953,0.000047
2.866667,0,0,0.999953,0.000519,0.999953,0.000047
2.900000,0,0,0.999953,0.000519,0.999953,0.000047
2.933333,0,0,0.999953,0.000519,0.999953,0.000047
2.966667,0,0,0.999953,0.000519,0.999953,0.000047
3.000000,0,0,0.999953,0.000519,0.999953,0.000047
3.033333,0,0,0.999953,0.000519,0.999953,0.000047
