filename,T,emitted,acc,mean_conf,mean_ent,switch_idx,near_acc(+/-32),out_acc
saved_desired_states_108_130_fg.npy,215,200,0.690000,0.932792,0.157814,62,0.630769,0.718519
saved_desired_states_108_133_fg.npy,243,228,0.758772,0.929710,0.151193,62,1.000000,0.662577
saved_desired_states_108_140_fg.npy,243,228,0.758772,0.929381,0.152061,62,1.000000,0.662577
saved_desired_states_108_178_fg.npy,147,132,0.810606,0.948790,0.101821,62,0.738462,0.880597
saved_desired_states_108_216_fg.npy,206,191,0.821990,0.981380,0.049502,62,0.569231,0.952381
saved_desired_states_108_254_fg.npy,190,175,0.868571,0.989273,0.026240,62,0.707692,0.963636
saved_desired_states_108_276_fg.npy,178,163,0.969325,0.977064,0.054199,62,0.938462,0.989796
saved_desired_states_108_27_fg.npy,185,170,0.623529,0.953581,0.105349,62,0.600000,0.638095
saved_desired_states_108_332_fg.npy,270,255,0.886275,0.985927,0.030600,62,0.646154,0.968421
saved_desired_states_108_357_fg.npy,165,150,0.740000,0.985775,0.036438,62,0.615385,0.835294
saved_desired_states_108_365_fg.npy,183,168,0.833333,0.992607,0.017844,62,0.569231,1.000000
saved_desired_states_108_410_fg.npy,184,169,0.834320,0.987215,0.028909,62,0.569231,1.000000
saved_desired_states_108_474_fg.npy,186,171,0.836257,0.996088,0.008750,62,0.569231,1.000000
saved_desired_states_108_487_fg.npy,171,156,0.865385,0.997659,0.008526,62,0.676923,1.000000
saved_desired_states_108_51_fg.npy,164,149,0.697987,0.984613,0.041275,62,0.523077,0.833333
saved_desired_states_108_77_fg.npy,370,355,0.887324,0.990620,0.025935,62,0.523077,0.968966
saved_desired_states_108_8_fg.npy,323,308,0.798701,0.949836,0.121255,62,0.953846,0.757202
saved_desired_states_130_108_gf.npy,215,200,0.755000,0.896354,0.236175,123,0.646154,0.807407
saved_desired_states_130_229_gf.npy,389,374,0.844920,0.936359,0.151494,123,0.692308,0.877023
saved_desired_states_130_230_gf.npy,422,407,0.886978,0.951669,0.115452,123,0.692308,0.923977
saved_desired_states_130_235_gf.npy,485,470,0.831915,0.951032,0.117374,123,0.323077,0.913580
saved_desired_states_130_243_gf.npy,420,405,0.861728,0.951436,0.116845,123,0.553846,0.920588
saved_desired_states_130_263_gf.npy,397,382,0.840314,0.951315,0.117562,123,0.507692,0.908517
saved_desired_states_130_279_gf.npy,229,214,0.766355,0.909892,0.211147,123,0.630769,0.825503
saved_desired_states_130_280_gf.npy,254,239,0.807531,0.920754,0.188721,123,0.692308,0.850575
saved_desired_states_130_285_gf.npy,414,399,0.799499,0.922323,0.173345,123,0.338462,0.889222
saved_desired_states_130_330_gf.npy,299,284,0.809859,0.922354,0.178490,123,0.569231,0.881279
saved_desired_states_130_342_gf.npy,293,278,0.694245,0.892170,0.248648,123,0.446154,0.769953
saved_desired_states_130_368_gf.npy,303,288,0.819444,0.923288,0.181389,123,0.692308,0.856502
saved_desired_states_130_384_gf.npy,341,326,0.858896,0.940704,0.143262,123,0.692308,0.900383
saved_desired_states_130_388_gf.npy,248,233,0.811159,0.922320,0.182277,123,0.723077,0.845238
saved_desired_states_130_389_gf.npy,252,237,0.793249,0.908931,0.212852,123,0.676923,0.837209
saved_desired_states_130_413_gf.npy,274,259,0.779923,0.908381,0.214496,123,0.707692,0.804124
saved_desired_states_130_428_gf.npy,261,246,0.780488,0.927505,0.170371,123,0.723077,0.801105
saved_desired_states_130_482_gf.npy,366,351,0.814815,0.928266,0.171408,123,0.707692,0.839161
saved_desired_states_130_484_gf.npy,220,205,0.756098,0.901167,0.230136,123,0.630769,0.814286
saved_desired_states_130_58_gf.npy,224,209,0.775120,0.909717,0.210861,123,0.707692,0.805556
saved_desired_states_130_61_gf.npy,228,213,0.751174,0.906694,0.216590,123,0.600000,0.817568
saved_desired_states_130_86_gf.npy,301,286,0.846154,0.936970,0.151308,123,0.723077,0.882353
saved_desired_states_133_108_gf.npy,243,228,0.745614,0.916624,0.180846,151,0.800000,0.723926
saved_desired_states_133_211_gf.npy,419,404,0.727723,0.937713,0.143276,151,0.353846,0.799410
saved_desired_states_133_229_gf.npy,417,402,0.830846,0.941705,0.130655,151,0.830769,0.830861
saved_desired_states_133_230_gf.npy,450,435,0.871264,0.959502,0.090733,151,0.830769,0.878378
saved_desired_states_133_235_gf.npy,513,498,0.805221,0.953180,0.103672,151,0.353846,0.872979
saved_desired_states_133_243_gf.npy,448,433,0.833718,0.954285,0.101956,151,0.600000,0.875000
saved_desired_states_133_279_gf.npy,257,242,0.760331,0.920618,0.169250,151,0.800000,0.745763
saved_desired_states_133_280_gf.npy,282,267,0.782772,0.924441,0.162029,151,0.800000,0.777228
saved_desired_states_133_285_gf.npy,442,427,0.777518,0.928562,0.152763,151,0.400000,0.845304
saved_desired_states_133_330_gf.npy,327,312,0.804487,0.931708,0.147020,151,0.753846,0.817814
saved_desired_states_133_342_gf.npy,321,306,0.679739,0.900458,0.216785,151,0.538462,0.717842
saved_desired_states_133_368_gf.npy,331,316,0.784810,0.930974,0.152482,151,0.738462,0.796813
saved_desired_states_133_388_gf.npy,276,261,0.781609,0.928702,0.152110,151,0.815385,0.770408
saved_desired_states_133_389_gf.npy,280,265,0.773585,0.919942,0.179839,151,0.800000,0.765000
saved_desired_states_133_398_gf.npy,288,273,0.798535,0.937226,0.135461,151,0.846154,0.783654
saved_desired_states_133_413_gf.npy,302,287,0.756098,0.914282,0.188408,151,0.800000,0.743243
saved_desired_states_133_428_gf.npy,289,274,0.762774,0.937196,0.135859,151,0.846154,0.736842
saved_desired_states_133_58_gf.npy,252,237,0.746835,0.927203,0.160380,151,0.800000,0.726744
saved_desired_states_133_61_gf.npy,256,241,0.738589,0.920471,0.170865,151,0.738462,0.738636
saved_desired_states_140_211_gf.npy,419,404,0.727723,0.937823,0.142843,151,0.353846,0.799410
saved_desired_states_140_229_gf.npy,417,402,0.830846,0.941672,0.130629,151,0.830769,0.830861
saved_desired_states_140_230_gf.npy,450,435,0.871264,0.959605,0.090317,151,0.830769,0.878378
saved_desired_states_140_243_gf.npy,448,433,0.833718,0.954387,0.101551,151,0.600000,0.875000
saved_desired_states_140_263_gf.npy,425,410,0.821951,0.952501,0.105389,151,0.615385,0.860870
saved_desired_states_140_280_gf.npy,282,267,0.782772,0.924606,0.161374,151,0.800000,0.777228
saved_desired_states_140_285_gf.npy,442,427,0.777518,0.928665,0.152353,151,0.400000,0.845304
saved_desired_states_140_330_gf.npy,327,312,0.804487,0.931850,0.146460,151,0.753846,0.817814
saved_desired_states_140_342_gf.npy,321,306,0.679739,0.900603,0.216214,151,0.538462,0.717842
saved_desired_states_140_368_gf.npy,331,316,0.784810,0.931114,0.151929,151,0.738462,0.796813
saved_desired_states_140_389_gf.npy,280,265,0.773585,0.920108,0.179179,151,0.800000,0.765000
saved_desired_states_140_398_gf.npy,288,273,0.798535,0.937388,0.134820,151,0.846154,0.783654
saved_desired_states_140_413_gf.npy,302,287,0.756098,0.914436,0.187799,151,0.800000,0.743243
saved_desired_states_140_428_gf.npy,289,274,0.762774,0.937357,0.135221,151,0.846154,0.736842
saved_desired_states_140_482_gf.npy,394,379,0.802111,0.936656,0.143103,151,0.846154,0.792994
saved_desired_states_140_484_gf.npy,248,233,0.738197,0.917665,0.179407,151,0.753846,0.732143
saved_desired_states_140_58_gf.npy,252,237,0.746835,0.927389,0.159642,151,0.800000,0.726744
saved_desired_states_140_86_gf.npy,329,314,0.824841,0.943243,0.124614,151,0.846154,0.819277
saved_desired_states_178_108_gf.npy,147,132,0.833333,0.955820,0.101069,55,0.753846,0.910448
saved_desired_states_178_211_gf.npy,323,308,0.814935,0.949855,0.119789,55,0.538462,0.888889
saved_desired_states_178_229_gf.npy,321,306,0.898693,0.970088,0.074013,55,0.723077,0.946058
saved_desired_states_178_230_gf.npy,354,339,0.935103,0.979047,0.050654,55,0.753846,0.978102
saved_desired_states_178_235_gf.npy,417,402,0.890547,0.970601,0.066425,55,0.600000,0.946588
saved_desired_states_178_243_gf.npy,352,337,0.916914,0.970496,0.068761,55,0.676923,0.974265
saved_desired_states_178_263_gf.npy,329,314,0.920382,0.979783,0.047763,55,0.753846,0.963855
saved_desired_states_178_280_gf.npy,186,171,0.836257,0.957729,0.096795,55,0.661538,0.943396
saved_desired_states_178_285_gf.npy,346,331,0.879154,0.942834,0.123287,55,0.646154,0.936090
saved_desired_states_178_330_gf.npy,231,216,0.893519,0.962227,0.085623,55,0.738462,0.960265
saved_desired_states_178_342_gf.npy,225,210,0.747619,0.912094,0.200118,55,0.630769,0.800000
saved_desired_states_178_368_gf.npy,235,220,0.859091,0.957142,0.098657,55,0.707692,0.922581
