timestep,gt_policy_id,pred_policy_id,confidence,entropy
0.000000,1,-1,,
0.033333,1,-1,,
0.066667,1,-1,,
0.100000,1,-1,,
0.133333,1,-1,,
0.166667,1,-1,,
0.200000,1,-1,,
0.233333,1,-1,,
0.266667,1,-1,,
0.300000,1,-1,,
0.333333,1,-1,,
0.366667,1,-1,,
0.400000,1,-1,,
0.433333,1,-1,,
0.466667,1,-1,,
0.500000,1,0,0.965109,0.151353
0.533333,1,1,0.915019,0.290768
0.566667,1,1,0.999358,0.005357
0.600000,1,1,0.949551,0.199834
0.633333,1,1,0.949551,0.199834
0.666667,1,1,0.846427,0.428857
0.700000,1,0,0.877816,0.371255
0.733333,1,0,0.971923,0.127993
0.766667,1,0,0.971923,0.127993
0.800000,0,0,0.823174,0.466547
0.833333,0,0,0.971288,0.130237
0.866667,0,0,0.999804,0.001873
0.900000,0,0,0.952753,0.190329
0.933333,0,0,0.920391,0.277814
0.966667,0,1,0.726633,0.586579
1.000000,0,0,0.999999,0.000010
1.033333,0,1,0.869372,0.387578
1.066667,0,1,0.775894,0.532056
1.100000,0,0,0.785389,0.520002
1.133333,0,0,0.785061,0.520428
1.166667,0,0,0.976103,0.112841
1.200000,0,1,0.714994,0.597620
1.233333,0,1,0.852917,0.417615
1.266667,0,0,0.790033,0.513913
1.300000,0,0,0.790033,0.513913
1.333333,0,1,0.741436,0.571549
1.366667,0,0,0.869371,0.387581
1.400000,0,0,0.999943,0.000609
1.433333,0,0,0.501084,0.693145
1.466667,0,1,0.994370,0.034778
1.500000,0,0,0.922275,0.273177
1.533333,0,0,0.899949,0.325194
1.566667,0,0,0.888102,0.350466
1.600000,0,0,0.888102,0.350466
1.633333,0,0,0.888102,0.350466
1.666667,0,0,0.991368,0.049618
1.700000,0,0,0.918820,0.281641
1.733333,0,0,0.658985,0.641706
1.766667,0,0,0.918820,0.281641
1.800000,0,0,0.918820,0.281641
1.833333,0,0,0.946055,0.209971
1.866667,0,0,0.999885,0.001154
1.900000,0,0,0.996017,0.025982
1.933333,0,0,0.999925,0.000788
1.966667,0,0,0.999604,0.003501
2.000000,0,0,0.991405,0.049441
2.033333,0,0,0.997766,0.015867
2.066667,0,0,0.997766,0.015867
2.100000,0,0,0.999872,0.001271
2.133333,0,0,0.999931,0.000732
2.166667,0,0,0.999074,0.007396
2.200000,0,1,0.988563,0.062505
2.233333,0,1,0.988563,0.062505
2.266667,0,1,0.954680,0.184497
2.300000,0,1,0.888345,0.349962
2.333333,0,0,0.999367,0.005298
2.366667,0,0,0.978830,0.102560
2.400000,0,0,0.798627,0.502300
2.433333,0,1,0.792989,0.509970
2.466667,0,0,0.668389,0.635313
2.500000,0,0,0.959355,0.169988
2.533333,0,1,0.632457,0.657635
2.566667,0,0,0.875360,0.376069
2.600000,0,1,0.680705,0.626337
2.633333,0,1,0.680705,0.626337
2.666667,0,1,0.954145,0.186126
2.700000,0,0,0.997945,0.014769
2.733333,0,0,0.998373,0.012074
2.766667,0,1,0.626352,0.660869
2.800000,0,0,0.691325,0.618037
2.833333,0,0,0.992596,0.043700
2.866667,0,0,0.993488,0.039273
2.900000,0,0,0.917015,0.286000
2.933333,0,0,0.979653,0.099386
2.966667,0,0,0.993467,0.039379
3.000000,0,0,0.993467,0.039379
3.033333,0,0,0.999882,0.001182
3.066667,0,0,0.999644,0.003185
3.100000,0,0,0.931466,0.249831
3.133333,0,0,0.924309,0.268117
3.166667,0,0,0.850611,0.421647
3.200000,0,0,0.850611,0.421647
3.233333,0,0,0.999982,0.000211
3.266667,0,1,0.853678,0.416276
3.300000,0,1,0.503866,0.693117
3.333333,0,0,0.802259,0.497255
3.366667,0,1,0.985017,0.077809
3.400000,0,0,0.807996,0.489116
3.433333,0,1,0.554922,0.687102
3.466667,0,1,0.851395,0.420282
3.500000,0,0,0.668389,0.635313
3.533333,0,1,0.830334,0.455357
3.566667,0,1,0.802444,0.496995
3.600000,0,1,0.878204,0.370488
3.633333,0,1,0.680705,0.626337
3.666667,0,1,0.887138,0.352457
3.700000,0,0,0.602047,0.672173
3.733333,0,0,0.921318,0.275539
3.766667,0,1,0.946227,0.209477
3.800000,0,0,0.559742,0.685992
3.833333,0,0,0.691325,0.618037
3.866667,0,1,0.968382,0.140324
3.900000,0,1,0.613606,0.667108
3.933333,0,1,0.613606,0.667108
3.966667,0,1,0.978323,0.104496
4.000000,0,0,0.993467,0.039379
4.033333,0,1,0.991683,0.048117
4.066667,0,0,0.999444,0.004723
4.100000,0,0,0.959090,0.170826
4.133333,0,0,0.959090,0.170826
4.166667,0,0,0.603388,0.671614
4.200000,0,0,0.629799,0.659062
4.233333,0,0,0.968942,0.138400
4.266667,0,0,0.991877,0.047188
4.300000,0,0,0.812637,0.482376
4.333333,0,1,0.734048,0.579191
4.366667,0,0,0.785721,0.519571
4.400000,0,0,0.807996,0.489116
4.433333,0,1,0.783204,0.522823
4.466667,0,1,0.783204,0.522823
4.500000,0,1,0.871692,0.383157
4.533333,0,0,0.521567,0.692217
4.566667,1,0,0.909006,0.304832
4.600000,1,1,0.679604,0.627168
4.633333,1,0,0.923336,0.270546
4.666667,1,0,0.925159,0.265984
4.700000,1,0,0.999311,0.005706
4.733333,1,1,0.556858,0.686668
4.766667,1,0,0.975728,0.114227
4.800000,1,0,0.879514,0.367891
4.833333,1,0,0.924169,0.268468
4.866667,1,0,0.998993,0.007954
4.900000,1,0,0.996089,0.025587
4.933333,1,0,0.999614,0.003415
4.966667,1,0,0.990173,0.055205
5.000000,1,0,0.990173,0.055205
5.033333,1,0,0.962200,0.160889
5.066667,1,0,0.999451,0.004672
5.100000,1,0,0.931312,0.250231
5.133333,1,0,0.998897,0.008613
5.166667,1,0,1.000000,0.000003
5.200000,1,0,1.000000,0.000003
5.233333,1,0,1.000000,0.000003
5.266667,1,0,0.999997,0.000044
5.300000,1,0,0.680633,0.626391
5.333333,1,0,0.680633,0.626391
5.366667,1,0,0.789741,0.514299
5.400000,1,1,0.627080,0.660491
5.433333,1,1,0.627080,0.660491
5.466667,1,0,0.654112,0.644864
5.500000,1,0,0.654112,0.644864
5.533333,1,0,0.542765,0.689485
5.566667,1,0,0.542765,0.689485
5.600000,1,0,0.542765,0.689485
5.633333,0,0,0.863205,0.399102
5.666667,0,0,0.893005,0.340185
5.700000,0,1,0.641382,0.652619
5.733333,0,1,0.954961,0.183640
5.766667,0,1,0.954961,0.183640
5.800000,0,1,0.954961,0.183640
5.833333,0,1,0.772792,0.535881
5.866667,0,1,0.772792,0.535881
5.900000,0,1,0.738300,0.574827
5.933333,0,0,0.528791,0.691489
5.966667,0,0,0.519797,0.692363
6.000000,0,0,0.564116,0.684903
6.033333,0,0,0.564116,0.684903
6.066667,0,0,0.791563,0.511878
6.100000,0,0,0.791563,0.511878
6.133333,0,0,0.791563,0.511878
6.166667,0,0,0.988528,0.062662
6.200000,0,0,0.988528,0.062662
6.233333,0,0,0.988528,0.062662
6.266667,0,0,0.999238,0.006232
6.300000,0,0,0.999238,0.006232
6.333333,0,0,0.999858,0.001403
6.366667,0,0,0.996484,0.023379
6.400000,0,0,0.996484,0.023379
6.433333,0,0,0.996484,0.023379
6.466667,0,0,0.999095,0.007244
6.500000,0,0,0.999095,0.007244
6.533333,0,0,0.999095,0.007244
6.566667,0,0,0.999095,0.007244
6.600000,0,0,0.999996,0.000052
6.633333,0,0,0.999996,0.000052
6.666667,0,0,0.999996,0.000052
6.700000,0,0,0.999996,0.000052
6.733333,0,0,0.998865,0.008828
6.766667,0,0,0.990243,0.054883
6.800000,0,0,0.999257,0.006094
6.833333,0,0,0.999979,0.000244
6.866667,0,0,0.999979,0.000244
6.900000,0,0,0.999978,0.000256
6.933333,0,0,0.999978,0.000256
6.966667,0,0,0.999978,0.000256
7.000000,0,0,0.999999,0.000014
7.033333,0,0,0.999999,0.000014
