2025-10-02 16:33:06,717 INFO    MainThread:1445140 [wandb_setup.py:_flush():81] Current SDK version is 0.22.0
2025-10-02 16:33:06,718 INFO    MainThread:1445140 [wandb_setup.py:_flush():81] Configure stats pid to 1445140
2025-10-02 16:33:06,718 INFO    MainThread:1445140 [wandb_setup.py:_flush():81] Loading settings from /home/dhbaek/.config/wandb/settings
2025-10-02 16:33:06,718 INFO    MainThread:1445140 [wandb_setup.py:_flush():81] Loading settings from /home/dhbaek/dh_workspace/MotionVQVAE/wandb/settings
2025-10-02 16:33:06,718 INFO    MainThread:1445140 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-10-02 16:33:06,718 INFO    MainThread:1445140 [wandb_init.py:setup_run_log_directory():686] Logging user logs to /home/dhbaek/dh_workspace/MotionVQVAE/wandb/run-20251002_163306-ei360y3w/logs/debug.log
2025-10-02 16:33:06,718 INFO    MainThread:1445140 [wandb_init.py:setup_run_log_directory():687] Logging internal logs to /home/dhbaek/dh_workspace/MotionVQVAE/wandb/run-20251002_163306-ei360y3w/logs/debug-internal.log
2025-10-02 16:33:06,718 INFO    MainThread:1445140 [wandb_init.py:init():813] calling init triggers
2025-10-02 16:33:06,718 INFO    MainThread:1445140 [wandb_init.py:init():818] wandb.init called with sweep_config: {}
config: {'batch_size': 256, 'window_size': 32, 'num_workers': 4, 'total_iter': 100000, 'warmup_iter': 1000, 'lr': 0.0002, 'lr_scheduler': [50000, 100000], 'gamma': 0.05, 'weight_decay': 0.0, 'commit': 0.02, 'loss_vel': 0.5, 'recons_loss': 'l1_smooth', 'num_joints': 24, 'code_dim': 512, 'nb_code': 512, 'mu': 0.99, 'down_t': 2, 'stride_t': 2, 'width': 512, 'depth': 3, 'dilation_growth_rate': 3, 'output_emb_width': 512, 'vq_act': 'relu', 'vq_norm': None, 'quantizer': 'ema_reset', 'beta': 1.0, 'use_wandb': True, 'wandb_project': 'amass-vqvae-mvq', 'wandb_run_name': '${wandb_run_name}', 'wandb_tags': [], 'save_every': 1000, 'print_iter': 500, 'seed': 123, 'device': device(type='cuda'), 'motion_file': '/home/dhbaek/dh_workspace/data_phc/data/amass/valid_jh/amass_train.pkl', 'motion_ids': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281, 282, 283, 284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299, 300], '_wandb': {}}
2025-10-02 16:33:06,718 INFO    MainThread:1445140 [wandb_init.py:init():861] starting backend
2025-10-02 16:33:06,930 INFO    MainThread:1445140 [wandb_init.py:init():864] sending inform_init request
2025-10-02 16:33:06,936 INFO    MainThread:1445140 [wandb_init.py:init():872] backend started and connected
2025-10-02 16:33:06,939 INFO    MainThread:1445140 [wandb_init.py:init():942] updated telemetry
2025-10-02 16:33:06,941 INFO    MainThread:1445140 [wandb_init.py:init():966] communicating run to backend with 90.0 second timeout
2025-10-02 16:33:07,257 INFO    MainThread:1445140 [wandb_init.py:init():1017] starting run threads in backend
2025-10-02 16:33:07,297 INFO    MainThread:1445140 [wandb_run.py:_console_start():2506] atexit reg
2025-10-02 16:33:07,297 INFO    MainThread:1445140 [wandb_run.py:_redirect():2354] redirect: wrap_raw
2025-10-02 16:33:07,297 INFO    MainThread:1445140 [wandb_run.py:_redirect():2423] Wrapping output streams.
2025-10-02 16:33:07,297 INFO    MainThread:1445140 [wandb_run.py:_redirect():2446] Redirects installed.
2025-10-02 16:33:07,298 INFO    MainThread:1445140 [wandb_init.py:init():1057] run started, returning control to user process
2025-10-02 16:33:08,811 INFO    wandb-AsyncioManager-main:1445140 [service_client.py:_forward_responses():84] Reached EOF.
2025-10-02 16:33:08,811 INFO    wandb-AsyncioManager-main:1445140 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
